Application ID,Client,Full Name,Email,Application Date,Loan Amount Requested,Loan Purpose,Status,Denial Reason,Upload Links
recOPcupP7mlJQm3s,recO03X6kaqoLLxHu,Melanie Jones,MJ+annettepartida@gmail.com,4/8/2026 9:14am,$600.00,My fridge broke and need to buy a new one. It's costing me more money to eat out everyday. I can pay the loan back in 6 months.,Submitted,,
receBdhpkG237S2EV,recBaxzGzN5Vk23Ik,Maria Lira,LM+annettepartida@gmail.com,4/8/2026 10:28am,$1000.00,I'd like to buy a flight to New Zealand for a graduation gift. I can pay the loan back in a year. ,Documents Requested,,rec3cZLguNt3IOvTh
recHifuSX2dACD5Ta,recRUXS4f8k8Yv4Qo,Josephina Napoleon,alexander.goldin+jpol@tripleten-team.com,4/8/2026 11:17am,$3500.00,Need to fix a broken kitchen. will pay back in 3 months,Rejected,Not enough proof of income for this amount,rec4IlIjIcNy3breJ
recd8C90EyLny5shs,recRUXS4f8k8Yv4Qo,Josephina Napoleon,alexander.goldin+jpol@tripleten-team.com,4/8/2026 11:23am,$1000.00,want to buy a gift for my husband. ,Under Review,,rec77EqvaTV4akUnp
rec0osLeSZRvHT73d,recJPxjKudwFfD3Jp,James Lee,jameslee+greg.huynh97@gmail.com,4/8/2026 4:12pm,$2500.00,Need to fix my windshield for my BMW.,Documents Requested,,recc0KHWYOKoivQo0
rechiRX6m6vaZwof9,recg138Rb6onJ6TEH,James Lee,greg.huynh97+jameslee@gmail.com,4/8/2026 4:17pm,$2500.00,I need to replace my windshield for my Honda. I will pay it all within 6 months.,Under Review,,recOvCIf8CVoj3gau
recceAQP2XOCDhDE3,recdQ6DfBg5HRBKNs,Lucy Lola,greg.huynh97+lucylola@gmail.com,4/8/2026 4:27pm,$8000.00,Doing house renovations. Want to pay back in 12 months.,Documents Requested,,rec5w5eidW4F3F7wM
rectlVQ2w395QsOYo,recJdysOrEUPX4RMf,Rachel Sanders,greg.huynh97+rachelsanders@gmail.com,4/8/2026 4:36pm,$150.00,I need to fix my cellphone. Screen cracked. I need 24 months to pay.,Rejected,The requested loan amount of $150 is below the minimum allowed loan amount of $200.,
recVoiAvOVypQCmIR,recRoOxhXnBHaTWKz,Richard Geer,alexander.goldin+rich@tripleten-team.com,4/8/2026 6:06pm,$3400.00,Need to fix my car,Rejected,not enough income,recHl4fPq7r7m27TN
recoWibCiRZzl2xua,recGawmlSf6OTwQiB,Jessica Alba,alexander.goldin+jalba@tripleten-team.com,4/8/2026 6:12pm,$3990.00,need to fix my car,Documents Requested,,rec4o02DVOTwDPe0r
rec10jsMeOjLrVBcg,recdiob6uJbbcuVwR,Norah Allen,alexander.goldin+nora@tripleten-team.com,4/8/2026 6:17pm,$2000.00,NEed to fix my car,Rejected,"Application denied: required documentation missing — please provide a current government-issued ID (driver’s license or passport), the last 2 months of pay stubs to verify income, and proof of an active bank account (e.g., recent bank statement). Once these documents are submitted we can re-evaluate.",
recoeHa0RlVHyOcVo,recLo94BCMSYKOyu8,JAckie Rose,alexander.goldin+jackie@tripleten-team.com,4/8/2026 6:23pm,$3000.00,"need to fix my car, will pay back in 3 months. ",Documents Requested,,recQL5uEhFBWowHIt
recLYWCv6mSNG3j1n,reczRvP8o7JiXbTWu,Marina Kling,alexander.goldin+kling@tripleten-team.com,4/8/2026 6:25pm,$10000.00,i want to buy dimonds for my husband,Rejected,"Requested loan amount ($10,000) exceeds allowable range ($200 to $5,000) per the loan rules.",
recLDI1erpocM6Mxi,recGcxymMQP0QBqkA,John Wick,alexander.goldin+jwick@tripleten-team.com,4/13/2026 6:43am,$5000.00,i need to buy my wife a gift. will pay back within 6 months. ,Documents Requested,,recUaQkAEgvRMvpDw
recQNtpiZQA9wXb5C,recnu0AJark8IXFSC,Miranda Spelbeerg,alexander.goldin+msp@tripleten-team.com,4/13/2026 8:28am,$4500.00,I want to buy a gift for my spouse. will pay back in 4-5 months ,Approved,,recigfEwyfNJcdY77
recjeMA8UIdqExKRN,recnvW09qUxssnJYa,Mandy Liv,greg.huynh97+mandyliv@gmail.com,4/13/2026 10:42am,$3000.00,Need loan to pay for tire replacements. Will pay back in 6 months.,Approved,,recprTnniyjGxNApq
recgnEUYum58Z33mP,rectJSM0pb4mnUdIG,Edwin Chase,greg.huynh97+edwinchase@gmail.com,4/13/2026 10:51am,$10000.00,Will like a loan to buy a boat to cruise around. Will like to pay within 24 months.,Rejected,"Requested loan amount of $10,000 exceeds allowed loan range of $200 to $5,000 as specified in the loan rules. The application is therefore denied.",
rectGACid3TSHHs4j,rec6TxOO0m0EAnAH8,Alexander Goldin,alexander.goldin+sample@tripleten-team.com,4/13/2026 11:22am,$4000.00,"I want to fix my car, will pay back in 4 months",Approved,,recaAT8nIp5iJZ86P
recEz6QuVWDg4g78m,recUvKfihVaHWI002,David Smith,ds+annettepartida@gmail.com,4/14/2026 1:15pm,$500.00,I would like to pay my dental bill and I can pay back the loan in 6 months.,Documents Requested,,recdKaUNmEaVUSZQ5
rec8tPzgzF1geLSpi,recnu0AJark8IXFSC,Miranda Spelbeerg,alexander.goldin+msp@tripleten-team.com,4/14/2026 1:28pm,$4500.00,I want to buy a gift for my spouse. will pay back in 4-5 months ,Submitted,,recQrrJ8e2uxHkYAg
recoIWwvAnq9T4gpj,recp6ar15wXsVaxQw,John Smith,alexander.goldin+jsmith@tripleten-team.com,4/15/2026 4:18pm,$4000.00,"I wanna fix my car, will pay back in 3 months ",Rejected,Not enough income ,recmFweFJV2ILNwS6
recAMWWYdHdsDUvfh,recibMhRxMlP9kxh2,Robert De Niro,alexander.goldin+rniro@tripleten-team.com,4/17/2026 4:37pm,$4000.00,I want to fix my kitchen. Will pay back in 4 months ,Under Review,,reckGYSOjLF3H7ENy
recf44vPAY8UiSBrF,recfiafue38amww2f,Melinda Rasolt,alexander.goldin@tripleten-team.com,4/17/2026 4:51pm,$100000.00,I want to buy a Lamborghini,Rejected,"Requested loan amount $100,000 exceeds the program maximum of $5,000 per the loan rules (loan amount must be between $200 and $5,000).",
recZEgTwWp7zHGD7C,recKZB6C0E3NQScQB,Donald Trump,DT+annettepartida@gmail.com,4/18/2026 12:10pm,$3000.00,I would like to put a down payment on a tractor for my farm. I can pay the loan back in less than 6 months.,Documents Requested,,recDT8GQSEgBjNRxX
recVrayduFinV5Boz,recTD99pmwrnCPho6,Annabelle Evans,annettepartida+ae@gmail.com,4/18/2026 1:01pm,$3500.00,I need to pay my dog's surgery in the next week so he can survive being hit by a car. I can pay back the loan in 8 months.,Rejected,"not enough income 
",reciyqLYweaAbCvni
rec6iXn9GYvUFRA6x,recXq9bBBgnM0qiXn,Sunny Lopez,annettepartida+sl@gmail.com,4/18/2026 2:12pm,$2000.00,"I'm wanting to put down 2,000 dollars for a used Telsa because gas prices are so high and I would like to invest in electic. I can pay the loan back in 6 months. ",Approved,,recnYEcg4zwCBL5dx
rec52fJKIGCkMmfdO,recOvYm9pu92O4bHp,Donald Duck,xiolared+dd@gmail.com,4/19/2026 11:36am,$2000.00,I have a hospital bill that needs to be paid off. I can pay back the loan in 6 months.,Documents Requested,,recpkltIoFc7jcpn8
