fileName,uploadId,fullName,Documents (from uploadLinkId),uploadLinkId,documentRequestId,fileSize,fileType,s3Key,s3Bucket,uploadedAt,download_url
DriverLicence,recTZVi7ezIGdOzaH,,"Driver Lisence
",recyURnx1sgdulLFj,recLqKnetOsnWsu6L,1,png,uploads/gfiugfiwg/feugf.png,fox-finance-dev-fox-finance-uploads,2/16/2026 10:24am,
Paystub,recnVSKngmjLOE3Gv,,Paystubs,recOGHDs7uszuKgMQ,recF2lxAdHzRpu7hV,2,pdf,uploads/foufrhrufh/hhfeih.pdf,fox-finance-dev-fox-finance-uploads,2/16/2026 10:24am,
Passport,recdVV8nOfE7baJdh,,Passport,recyURnx1sgdulLFj,rec9VKMzQaw6iO6NO,2,jpg,uploads/fgiugfiwufgf.jpg,fox-finance-dev-fox-finance-uploads,2/16/2026 10:24am,
Screenshot 2025-04-23 at 8.59.42 AM.png,recFGbkgzDRu2Ufms,,Proof of Address,reccwMax0zqctdbFZ,recBFzcLAyLWLmoO4,2079343,image/png,uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/3e70709e-a898-43ff-8df7-411615683ef4-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,3/9/2026 2:50pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/3e70709e-a898-43ff-8df7-411615683ef4-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260309%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260309T195029Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=ba6f9ac866314b120483d84620ad3f4920b1885cdb2b468d7c3640e6c75c968a
Screenshot 2025-04-23 at 9.03.36 AM.png,recqsnUdDSOStZHIN,,Proof of Identity,reccwMax0zqctdbFZ,recKRHTKaFca3neJH,1623037,image/png,uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/61ea1f5a-202f-4c94-8b0d-ec49880e8e4b-Screenshot_2025-04-23_at_9.03.36 AM.png,fox-finance-dev-fox-finance-uploads,3/9/2026 2:50pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/61ea1f5a-202f-4c94-8b0d-ec49880e8e4b-Screenshot_2025-04-23_at_9.03.36%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260309%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260309T195031Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=f731b103a12970c52066c968135cb952080cf7b1af556a7dd2fd36bbdc45d5f0
Screenshot 2025-04-23 at 9.04.02 AM.png,recc5Maj8NBHNfeqa,,Proof of Income,reccwMax0zqctdbFZ,reculWwly5CFjcCdX,662154,image/png,uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/929ff6cd-d4eb-4f7e-bd74-0864dc1d5e4a-Screenshot_2025-04-23_at_9.04.02 AM.png,fox-finance-dev-fox-finance-uploads,3/9/2026 2:50pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/929ff6cd-d4eb-4f7e-bd74-0864dc1d5e4a-Screenshot_2025-04-23_at_9.04.02%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260309%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260309T195032Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=4354110f3004d815fe90be37d50c51ed5518df72ed2161fccc84984c17be8248
Screenshot 2025-04-23 at 9.01.42 AM.png,recyuiFcdHUf08Qq9,,Proof of Income,recTFQwMeqcoxDgAY,recLwZ8CM7IezPU8V,2089132,image/png,uploads/recfiafue38amww2f/recTFQwMeqcoxDgAY/42e43627-8a4a-4dd5-bd93-fadfad21c938-Screenshot_2025-04-23_at_9.01.42 AM.png,fox-finance-dev-fox-finance-uploads,3/11/2026 4:51pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recfiafue38amww2f/recTFQwMeqcoxDgAY/42e43627-8a4a-4dd5-bd93-fadfad21c938-Screenshot_2025-04-23_at_9.01.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260311%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260311T215130Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=ff418175854af295b5f9126a7f6e73959a82b8e031596f40e45525e54e5ee02a
Screenshot 2025-04-23 at 8.59.42 AM.png,recoM1s9pyOT2aeqo,,Proof of Identity,recTFQwMeqcoxDgAY,recg0HKhZzIdaZWEM,2079343,image/png,uploads/recfiafue38amww2f/recTFQwMeqcoxDgAY/a12c56bd-e226-49fd-8bae-cf45c5a3f91b-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,3/11/2026 4:51pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recfiafue38amww2f/recTFQwMeqcoxDgAY/a12c56bd-e226-49fd-8bae-cf45c5a3f91b-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260311%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260311T215140Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=48e76bbd89ff8f6f720e0723a92f907d314c558353c90648865eb3e4c9205472
Screenshot 2025-04-23 at 8.59.42 AM.png,recu2KGxWGi7hYfhR,,Proof of Address,reccwMax0zqctdbFZ,recBFzcLAyLWLmoO4,2079343,image/png,uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/b18d9b05-9332-4b6b-b490-cb286c772f44-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,3/14/2026 3:55pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/b18d9b05-9332-4b6b-b490-cb286c772f44-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260314%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260314T205548Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=fdd317442508137022b10d57f21b18c5ac8bb0a17ef95c0abdc13d70a89f2828
Screenshot 2025-04-23 at 9.01.42 AM.png,rec5Zg15cxkZ4ukuT,,Proof of Identity,reccwMax0zqctdbFZ,recKRHTKaFca3neJH,2089132,image/png,uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/cef6ea5d-3c15-4ce9-98ed-893d65813ed3-Screenshot_2025-04-23_at_9.01.42 AM.png,fox-finance-dev-fox-finance-uploads,3/14/2026 3:55pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/cef6ea5d-3c15-4ce9-98ed-893d65813ed3-Screenshot_2025-04-23_at_9.01.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260314%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260314T205552Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=c2e4c28fb23919d72b7b3f506273daef47439595dc7a924845cfbdc35a9719ac
